document_id,document_type,title,content,category,tags,metadata
M078,menu_item,Masala Tea Premium,Masala Tea Premium is a veg beverage costing ₹230. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 230, ""serves"": 1, ""diet"": ""Veg""}"
M079,menu_item,Gobi Manchurian Spicy,Gobi Manchurian Spicy is a veg starter costing ₹300. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 300, ""serves"": 2, ""diet"": ""Veg""}"
M080,menu_item,Crispy Corn Premium,Crispy Corn Premium is a veg starter costing ₹410. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 410, ""serves"": 2, ""diet"": ""Veg""}"
M081,menu_item,Gulab Jamun Classic,Gulab Jamun Classic is a veg dessert costing ₹250. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 250, ""serves"": 1, ""diet"": ""Veg""}"
M082,menu_item,Gulab Jamun Classic,Gulab Jamun Classic is a veg dessert costing ₹360. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 360, ""serves"": 2, ""diet"": ""Veg""}"
M083,menu_item,Cheesecake Special,Cheesecake Special is a veg dessert costing ₹410. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 410, ""serves"": 1, ""diet"": ""Veg""}"
M084,menu_item,Mango Shake Chef's,Mango Shake Chef's is a veg beverage costing ₹250. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 250, ""serves"": 1, ""diet"": ""Veg""}"
M085,menu_item,Lassi Special,Lassi Special is a veg beverage costing ₹430. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 430, ""serves"": 1, ""diet"": ""Veg""}"
M086,menu_item,Cheesecake Classic,Cheesecake Classic is a veg dessert costing ₹300. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 300, ""serves"": 2, ""diet"": ""Veg""}"
M087,menu_item,Crispy Corn Special,Crispy Corn Special is a veg starter costing ₹280. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 280, ""serves"": 2, ""diet"": ""Veg""}"
M088,menu_item,Cheesecake Premium,Cheesecake Premium is a veg dessert costing ₹440. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 440, ""serves"": 1, ""diet"": ""Veg""}"
M089,menu_item,Chicken Fried Rice Spicy,Chicken Fried Rice Spicy is a non-veg main course costing ₹200. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 200, ""serves"": 2, ""diet"": ""Non-Veg""}"
M090,menu_item,Mango Shake Classic,Mango Shake Classic is a veg beverage costing ₹280. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 280, ""serves"": 2, ""diet"": ""Veg""}"
M091,menu_item,Chicken Fried Rice Special,Chicken Fried Rice Special is a non-veg main course costing ₹290. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 290, ""serves"": 2, ""diet"": ""Non-Veg""}"
M092,menu_item,Fresh Lime Soda Chef's,Fresh Lime Soda Chef's is a veg beverage costing ₹410. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 410, ""serves"": 2, ""diet"": ""Veg""}"
M093,menu_item,Chicken Biryani Premium,Chicken Biryani Premium is a non-veg main course costing ₹410. Serves 2. Popular among families.,Main Course,"non-veg,main course","{""price"": 410, ""serves"": 2, ""diet"": ""Non-Veg""}"
M094,menu_item,Gobi Manchurian Premium,Gobi Manchurian Premium is a veg starter costing ₹230. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 230, ""serves"": 1, ""diet"": ""Veg""}"
M095,menu_item,Veg Biryani Classic,Veg Biryani Classic is a veg main course costing ₹240. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 240, ""serves"": 2, ""diet"": ""Veg""}"
M096,menu_item,Chicken 65 Spicy,Chicken 65 Spicy is a non-veg starter costing ₹450. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 450, ""serves"": 1, ""diet"": ""Non-Veg""}"
M097,menu_item,Fresh Lime Soda Spicy,Fresh Lime Soda Spicy is a veg beverage costing ₹240. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M098,menu_item,Chicken Wings Spicy,Chicken Wings Spicy is a non-veg starter costing ₹230. Serves 1. Popular among families.,Starter,"non-veg,starter","{""price"": 230, ""serves"": 1, ""diet"": ""Non-Veg""}"
M099,menu_item,Lassi Special,Lassi Special is a veg beverage costing ₹240. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 240, ""serves"": 1, ""diet"": ""Veg""}"
M100,menu_item,Cold Coffee Spicy,Cold Coffee Spicy is a veg beverage costing ₹420. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 420, ""serves"": 2, ""diet"": ""Veg""}"
M101,menu_item,Mango Shake Special,Mango Shake Special is a veg beverage costing ₹360. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 360, ""serves"": 2, ""diet"": ""Veg""}"
M102,menu_item,Noodles Spicy,Noodles Spicy is a veg main course costing ₹250. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 250, ""serves"": 1, ""diet"": ""Veg""}"
M103,menu_item,Rasmalai Spicy,Rasmalai Spicy is a veg dessert costing ₹240. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 240, ""serves"": 2, ""diet"": ""Veg""}"
M104,menu_item,Lassi Premium,Lassi Premium is a veg beverage costing ₹240. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 240, ""serves"": 2, ""diet"": ""Veg""}"
M105,menu_item,Ice Cream Special,Ice Cream Special is a veg dessert costing ₹140. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 140, ""serves"": 1, ""diet"": ""Veg""}"
M106,menu_item,Paneer Butter Masala Spicy,Paneer Butter Masala Spicy is a veg main course costing ₹180. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 180, ""serves"": 1, ""diet"": ""Veg""}"
M107,menu_item,Veg Spring Rolls Spicy,Veg Spring Rolls Spicy is a veg starter costing ₹300. Serves 2. Popular among families.,Starter,"veg,starter","{""price"": 300, ""serves"": 2, ""diet"": ""Veg""}"
M108,menu_item,Lassi Chef's,Lassi Chef's is a veg beverage costing ₹350. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 350, ""serves"": 2, ""diet"": ""Veg""}"
M109,menu_item,Chilli Paneer Spicy,Chilli Paneer Spicy is a veg starter costing ₹390. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 390, ""serves"": 1, ""diet"": ""Veg""}"
M110,menu_item,Ice Cream Spicy,Ice Cream Spicy is a veg dessert costing ₹350. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 350, ""serves"": 1, ""diet"": ""Veg""}"
M111,menu_item,Cold Coffee Premium,Cold Coffee Premium is a veg beverage costing ₹360. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 360, ""serves"": 2, ""diet"": ""Veg""}"
M112,menu_item,Veg Spring Rolls Premium,Veg Spring Rolls Premium is a veg starter costing ₹340. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 340, ""serves"": 1, ""diet"": ""Veg""}"
M113,menu_item,Cold Coffee Special,Cold Coffee Special is a veg beverage costing ₹430. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 430, ""serves"": 1, ""diet"": ""Veg""}"
M114,menu_item,Mango Shake Special,Mango Shake Special is a veg beverage costing ₹100. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 100, ""serves"": 1, ""diet"": ""Veg""}"
M115,menu_item,Cold Coffee Spicy,Cold Coffee Spicy is a veg beverage costing ₹200. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 200, ""serves"": 1, ""diet"": ""Veg""}"
M116,menu_item,Cheesecake Premium,Cheesecake Premium is a veg dessert costing ₹220. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 220, ""serves"": 2, ""diet"": ""Veg""}"
M117,menu_item,Ice Cream Spicy,Ice Cream Spicy is a veg dessert costing ₹260. Serves 2. Popular among families.,Dessert,"veg,dessert","{""price"": 260, ""serves"": 2, ""diet"": ""Veg""}"
M118,menu_item,Gulab Jamun Spicy,Gulab Jamun Spicy is a veg dessert costing ₹100. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 100, ""serves"": 1, ""diet"": ""Veg""}"
M119,menu_item,Brownie Classic,Brownie Classic is a veg dessert costing ₹110. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 110, ""serves"": 1, ""diet"": ""Veg""}"
M120,menu_item,Paneer Butter Masala Classic,Paneer Butter Masala Classic is a veg main course costing ₹180. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 180, ""serves"": 1, ""diet"": ""Veg""}"
M121,menu_item,Noodles Classic,Noodles Classic is a veg main course costing ₹450. Serves 1. Popular among families.,Main Course,"veg,main course","{""price"": 450, ""serves"": 1, ""diet"": ""Veg""}"
M122,menu_item,Masala Tea Premium,Masala Tea Premium is a veg beverage costing ₹190. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 190, ""serves"": 1, ""diet"": ""Veg""}"
M123,menu_item,Dal Tadka Classic,Dal Tadka Classic is a veg main course costing ₹100. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 100, ""serves"": 2, ""diet"": ""Veg""}"
M124,menu_item,Fresh Lime Soda Chef's,Fresh Lime Soda Chef's is a veg beverage costing ₹130. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 130, ""serves"": 1, ""diet"": ""Veg""}"
M125,menu_item,Crispy Corn Special,Crispy Corn Special is a veg starter costing ₹160. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 160, ""serves"": 1, ""diet"": ""Veg""}"
M126,menu_item,Rasmalai Spicy,Rasmalai Spicy is a veg dessert costing ₹320. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 320, ""serves"": 1, ""diet"": ""Veg""}"
M127,menu_item,Gulab Jamun Spicy,Gulab Jamun Spicy is a veg dessert costing ₹400. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 400, ""serves"": 1, ""diet"": ""Veg""}"
M128,menu_item,Masala Tea Spicy,Masala Tea Spicy is a veg beverage costing ₹180. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 180, ""serves"": 2, ""diet"": ""Veg""}"
M129,menu_item,Kadai Paneer Premium,Kadai Paneer Premium is a veg main course costing ₹430. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 430, ""serves"": 2, ""diet"": ""Veg""}"
M130,menu_item,Fresh Lime Soda Special,Fresh Lime Soda Special is a veg beverage costing ₹260. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 260, ""serves"": 2, ""diet"": ""Veg""}"
M131,menu_item,Chicken Biryani Premium,Chicken Biryani Premium is a non-veg main course costing ₹370. Serves 1. Popular among families.,Main Course,"non-veg,main course","{""price"": 370, ""serves"": 1, ""diet"": ""Non-Veg""}"
M132,menu_item,Mango Shake Special,Mango Shake Special is a veg beverage costing ₹330. Serves 2. Popular among families.,Beverage,"veg,beverage","{""price"": 330, ""serves"": 2, ""diet"": ""Veg""}"
M133,menu_item,Chicken 65 Premium,Chicken 65 Premium is a non-veg starter costing ₹200. Serves 2. Popular among families.,Starter,"non-veg,starter","{""price"": 200, ""serves"": 2, ""diet"": ""Non-Veg""}"
M134,menu_item,Veg Fried Rice Premium,Veg Fried Rice Premium is a veg main course costing ₹300. Serves 2. Popular among families.,Main Course,"veg,main course","{""price"": 300, ""serves"": 2, ""diet"": ""Veg""}"
M135,menu_item,Rasmalai Classic,Rasmalai Classic is a veg dessert costing ₹420. Serves 1. Popular among families.,Dessert,"veg,dessert","{""price"": 420, ""serves"": 1, ""diet"": ""Veg""}"
M136,menu_item,Gobi Manchurian Spicy,Gobi Manchurian Spicy is a veg starter costing ₹400. Serves 1. Popular among families.,Starter,"veg,starter","{""price"": 400, ""serves"": 1, ""diet"": ""Veg""}"
M137,menu_item,Fresh Lime Soda Spicy,Fresh Lime Soda Spicy is a veg beverage costing ₹100. Serves 1. Popular among families.,Beverage,"veg,beverage","{""price"": 100, ""serves"": 1, ""diet"": ""Veg""}"
